hash,block,from,to,amt,asset,current_price,market_value,link
0xf7be8823bba8e914f9c1bcbae9f958aa100d7f81df821b21ba0fd1cd04fa25c6,7439924,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,631.22,Genesis Vision,4.2551,"2,685.92",https://etherscan.io/tx/0xf7be8823bba8e914f9c1bcbae9f958aa100d7f81df821b21ba0fd1cd04fa25c6
0xe4e86f7fb1298727a29aab5ed87f55ca16f385202e11b02444739093e19ee712,7439924,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"15,985,103.76",Kora Network Token,0.0002,"3,197.02",https://etherscan.io/tx/0xe4e86f7fb1298727a29aab5ed87f55ca16f385202e11b02444739093e19ee712
0x504ae29755fc9f8272f742787612c24f5365deff19334ee65ed9ccbc1f4cc946,7439924,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"2,760,873.63",Aditus,0.0008,"2,208.70",https://etherscan.io/tx/0x504ae29755fc9f8272f742787612c24f5365deff19334ee65ed9ccbc1f4cc946
0x87f0d477c0e500dd03711154db1608e16b88c2b39968064253e71f54fa5cb280,7439925,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"267,867.50",Seele,0.0088,"2,357.23",https://etherscan.io/tx/0x87f0d477c0e500dd03711154db1608e16b88c2b39968064253e71f54fa5cb280
0x52ed07a8f18fb68c714a02257d9524d5e32d226c52b29d61253781fb11032f67,7439937,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"16,732.43",COZ,0.1932,"3,232.71",https://etherscan.io/tx/0x52ed07a8f18fb68c714a02257d9524d5e32d226c52b29d61253781fb11032f67
0x8226356771c707141bca412fb18048721bdce792e1cf919eb1e0640502e24f34,7439939,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"1,272,708.53",Zippie,0.0018,"2,290.88",https://etherscan.io/tx/0x8226356771c707141bca412fb18048721bdce792e1cf919eb1e0640502e24f34
0x32a16920d6b1bc39528cc4fdfe0a1743d3c53057844c924d85916fd24941a91e,7439939,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"333,356,884.24",BitStation,0,0.00,https://etherscan.io/tx/0x32a16920d6b1bc39528cc4fdfe0a1743d3c53057844c924d85916fd24941a91e
0xeba6f75575498e1b07c9050efdc3f6572b55b4bae17bf19bc0a54a9e1755bc4e,7439942,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"20,961.05",Salt,0.1573,"3,297.17",https://etherscan.io/tx/0xeba6f75575498e1b07c9050efdc3f6572b55b4bae17bf19bc0a54a9e1755bc4e
0xb6305a4e7a9eecb27cd4c6aa789eebe5d3a999f90d40eda73d74eebe5a713b3d,7439947,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"1,708,849.52",SwftCoin,0.0012,"2,050.62",https://etherscan.io/tx/0xb6305a4e7a9eecb27cd4c6aa789eebe5d3a999f90d40eda73d74eebe5a713b3d
0x318a1fae3aeb8d9080724daa3cb66e9b23f29ad406d8b81805a42215cf47b65c,7439950,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"5,149,822.73",Shivers,0.0004,"2,059.93",https://etherscan.io/tx/0x318a1fae3aeb8d9080724daa3cb66e9b23f29ad406d8b81805a42215cf47b65c
0x65d472e68b53c7094fe7d5f79f8d76aea6e663e28f45476c36fd67a68e436cb7,7439951,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,0xb3df999c5dc026dea265aeb02b8519844c9b6d5e,"23,301.16",ClearPoll,0.0772,"1,798.85",https://etherscan.io/tx/0x65d472e68b53c7094fe7d5f79f8d76aea6e663e28f45476c36fd67a68e436cb7
